key;joiningdate;surename;forename;group
GI-100965; 1987-12-24; Kugler; Atilio; EMERITUS; false
GI-105183; 1985-04-11; Ritzmann; Bernice; STUDENT; true
GI-119088; 1985-12-02; Botman; Ronghao; FULL; true
GI-122781; 1987-04-08; Karner; Poorav; FULL; false
GI-110579; 1990-06-04; Swab; Mario; FULL; false
GI-130684; 1987-12-06; Klerer; Shugo; FULL; false
GI-123662; 1985-03-02; Grospietsch; Valery; REDUCED; false
GI-100464; 1990-07-15; Ramalingam; Elliott; REDUCED; false
GI-139169; 1987-02-14; Randi; Joachim; REDUCED; true
GI-122437; 1993-06-12; Cappello; Perry; REDUCED; false
GI-135111; 1986-10-17; Passafiume; Mantis; FULL; true
GI-109870; 1986-06-30; Qiwen; Christoph; EMERITUS; false
GI-120167; 1986-08-28; Harnett; Demin; FULL; true
GI-103861; 1990-12-18; Pelz; Gonzalo; EMERITUS; false
GI-113884; 1993-12-14; Benveniste; Brendon; FULL; true
GI-136813; 1986-01-07; Strandh; Kazunori; EMERITUS; false
GI-110250; 1992-10-07; Weisert; Affonso; FULL; true
GI-102557; 1991-04-10; Turnbull; Basem; FULL; false
GI-117096; 1987-07-29; Gilg; Miomir; EMERITUS; false
GI-122455; 1988-04-24; Coorg; Subhada; REDUCED; true
GI-123027; 1992-08-07; Sury; Denny; FULL; false
GI-100793; 1994-07-18; Sichman; Zhigen; REDUCED; true
GI-131652; 1989-03-10; Pelc; Supot; EMERITUS; true
GI-113150; 1988-12-27; Eppinger; Kazuhiro; FULL; false
GI-117264; 1988-07-11; Krupka; Hidde; FULL; false
GI-114024; 1987-03-31; Heping; Matt; REDUCED; true
GI-108005; 1991-11-17; Garrabrants; Nikolaus; EMERITUS; false
GI-108397; 1992-09-05; Hopewell; Palash; EMERITUS; true
GI-134943; 1987-06-30; Vuskovic; Duro; REDUCED; true
GI-129268; 1988-01-21; Llado; Zito; FULL; false
GI-102928; 1991-09-11; Basagni; Aemilian; STUDENT; true
GI-126712; 1987-05-09; Vadhan; Ramalingam; FULL; true
GI-121336; 1988-05-19; Emden; Gurbir; EMERITUS; true
GI-115062; 1988-07-30; Trelles; Zhiwei; REDUCED; false
GI-127213; 1995-06-24; Brobst; Adel; EMERITUS; false
GI-127129; 1987-03-31; Wendorf; Arto; FULL; false
GI-108838; 1985-08-31; Rosar; Berto; FULL; false
GI-119693; 1988-10-04; Laurillard; Sanjit; FULL; true
GI-119066; 1992-01-10; Kermarrec; Sorina; REDUCED; true
GI-101823; 1992-12-01; Schade; Tetsushi; STUDENT; false
GI-124518; 1990-01-11; Jarecki; Jolita; FULL; false
GI-127130; 1988-04-07; Narwekar; Marit; FULL; false
GI-102581; 1991-03-09; Hettesheimer; Kazuhiko; EMERITUS; true
GI-115200; 1995-08-12; Gonthier; Guiseppe; EMERITUS; true
GI-101251; 1985-10-14; Worfolk; Michaela; FULL; true
GI-128954; 1991-09-07; Hertweck; Gudjon; STUDENT; true
GI-104648; 1989-12-29; Cannard; Minghong; FULL; true
GI-101546; 1989-05-01; Linnainmaa; Fai; REDUCED; true
GI-110657; 1992-03-18; Herbst; Billur; FULL; false
GI-103825; 1993-06-29; Shackel; Achilleas; EMERITUS; true
GI-127263; 1988-09-17; Hanratty; Mads; FULL; false
GI-103729; 1987-09-18; Rajcani; Magdalena; EMERITUS; true
GI-107367; 1990-09-14; Horswill; LiMin; FULL; true
GI-139294; 1985-04-26; Walstra; Ottavia; EMERITUS; true
GI-121618; 1994-01-19; Toyoshima; Sadok; FULL; true
GI-103624; 1985-03-27; Janetzko; Barton; FULL; true
GI-114285; 1993-01-31; Staylopatis; Chinhyun; FULL; false
GI-110439; 1990-12-30; Lichtner; Takahira; REDUCED; false
GI-125964; 1986-06-06; Baak; Shridhar; FULL; true
GI-132524; 1990-11-28; Gerlach; Dines; FULL; true
GI-122912; 1997-09-24; Cheshire; Genta; FULL; true
GI-136163; 1987-04-16; Janocha; Moty; REDUCED; false
GI-101754; 1985-11-23; Vuskovic; Zhanqiu; FULL; true
GI-112529; 1985-02-07; Shanbhogue; Mitsuyuki; FULL; false
GI-118124; 1989-07-22; Michaels; Ibibia; FULL; true
GI-117380; 1986-01-30; Dechter; Miquel; EMERITUS; true
GI-134591; 1986-12-29; Journel; Pramod; EMERITUS; true
GI-117956; 1990-08-11; Giarratana; Sorina; FULL; true
GI-119083; 1986-09-09; Axelband; Alper; REDUCED; true
GI-109347; 1987-12-22; DeMori; Shan; EMERITUS; true
GI-105025; 1988-11-11; Condotta; Kiam; FULL; false
GI-129206; 1990-02-25; Turnbull; Ramachenga; FULL; true
GI-136812; 1985-09-17; Herber; Tse; REDUCED; false
GI-132054; 1995-05-28; Serot; Shahab; FULL; true
GI-125808; 1992-08-19; Speel; Palash; REDUCED; true
GI-124424; 1985-10-07; Pagter; Yaghout; EMERITUS; false
GI-139213; 1993-01-14; Penttonen; Dines; EMERITUS; true
GI-129172; 1987-03-22; Kalloufi; Tomoyuki; REDUCED; false
GI-135745; 1992-04-05; Sridhar; Krisda; FULL; true
GI-104980; 1988-02-02; Birdsall; Odoardo; FULL; true
GI-135501; 1990-03-08; Hooghiemstra; Woody; EMERITUS; false
GI-109209; 1989-02-20; Scallan; Boalin; EMERITUS; false
GI-126110; 1995-05-15; Lammel; Yoshimitsu; FULL; false
GI-135210; 1992-09-11; Zeidenstein; Josyula; FULL; true
GI-126065; 1985-02-08; Peral; Jeanne; FULL; false
GI-122055; 1987-11-27; Veevers; Shigeu; FULL; false
GI-135890; 1990-04-05; Coombs; Chinhyun; STUDENT; false
GI-125387; 1985-05-02; Mellouli; Masaru; FULL; true
GI-121985; 1994-02-06; Worfolk; Barton; FULL; true
GI-133521; 1987-11-22; Hopewell; Yahiko; EMERITUS; false
GI-125499; 1992-11-09; Sessa; Pohua; FULL; false
GI-111113; 1991-01-14; Hooghiemstra; Yuguang; STUDENT; false
GI-113625; 1987-07-23; Ranai; Mitsuyuki; STUDENT; true
GI-126287; 1989-11-25; Yamaashi; Ramalingam; FULL; true
GI-125123; 1994-09-04; Gunderson; Tokuyasu; EMERITUS; false
GI-124011; 1987-11-30; Assaf; Alselm; REDUCED; false
GI-104187; 1993-05-14; Vilarrasa; Susanta; REDUCED; true
GI-118400; 1993-11-23; Spelt; Bezalel; EMERITUS; true
GI-136497; 1993-10-19; Lung; Kristina; REDUCED; true
GI-125541; 1995-09-28; Bahk; Tesuro; EMERITUS; false
GI-111661; 1986-10-26; Viele; Zissis; REDUCED; true
GI-138317; 1987-05-08; Matzke; Adil; FULL; true
GI-109929; 1988-12-01; Salverda; Radhika; EMERITUS; true
GI-108152; 1985-06-25; Oaver; Tomokazu; FULL; true
GI-125197; 1988-09-11; Itschner; Naraig; REDUCED; true
GI-115869; 1985-05-28; Taubman; Francesca; FULL; true
GI-112845; 1988-03-05; Muhlberg; Miquel; FULL; false
GI-126782; 1985-06-18; Koblick; Marek; EMERITUS; true
GI-132462; 1987-07-09; Morton; Subbu; FULL; true
GI-120070; 1996-01-13; Brandsma; Tzvetan; EMERITUS; true
GI-100808; 1993-09-16; Glinert; Keiichiro; EMERITUS; true
GI-133112; 1988-12-25; Gulik; Woody; STUDENT; false
GI-129747; 1990-04-22; Solovay; Udaiprakash; EMERITUS; true
GI-138631; 1991-12-23; Kolinko; Jianhua; EMERITUS; true
GI-120621; 1993-03-19; Leaver; Jinpo; FULL; true
GI-126385; 1985-02-03; Leuchs; Manton; REDUCED; false
GI-102084; 1988-03-15; Bellone; Fuqing; STUDENT; false
GI-138754; 1986-08-07; Zastre; Sakthirel; STUDENT; true
GI-120156; 1989-03-02; Papadias; Ramzi; REDUCED; false
GI-110841; 1992-06-04; Brlek; Cathie; FULL; true
GI-107046; 1986-07-27; Lung; Berry; FULL; true
GI-115619; 1987-05-02; Marakhovsky; Toshiki; FULL; false
GI-135073; 1992-10-12; Walston; Fatemeh; EMERITUS; false
GI-100343; 1986-12-23; Carrera; Randy; FULL; true
GI-130578; 1988-10-05; Kambil; Barton; REDUCED; false
GI-102769; 1994-12-23; Beetstra; Sariel; REDUCED; false
GI-138792; 1987-11-22; Servi; Tommaso; STUDENT; false
GI-113823; 1989-08-01; Sudkamp; Lein; STUDENT; true
GI-112389; 1986-01-29; Mitsuhashi; Khedija; EMERITUS; true
GI-126296; 1987-06-18; Herber; Bojan; REDUCED; true
GI-119573; 1985-10-20; Luders; Aran; FULL; false
GI-113942; 1985-06-30; Binding; Geoffry; FULL; false
GI-129683; 1986-02-24; Cooley; Mary; FULL; false
GI-115356; 1986-09-18; Baba; Randy; REDUCED; true
GI-111107; 1989-05-17; Bratten; Wanqing; REDUCED; true
GI-131414; 1989-01-30; Khasidashvili; Debatosh; REDUCED; true
GI-106688; 1988-01-14; Hasenauer; Vivian; REDUCED; false
GI-124195; 1987-08-20; Mukaidono; Boaz; STUDENT; true
GI-124937; 1987-03-30; Boguraev; Hideo; FULL; false
GI-111745; 1986-01-05; Wilfing; Barna; EMERITUS; true
GI-107406; 1987-08-21; Hofting; Shaowen; REDUCED; true
GI-124447; 1987-06-27; Tasistro; Serap; FULL; true
GI-118664; 1996-05-11; Nyrup; Adil; EMERITUS; false
GI-137862; 1985-02-13; Roohalamini; Miyeon; STUDENT; false
GI-135500; 1989-08-11; Casperson; Roddy; REDUCED; true
GI-119713; 1995-01-13; Decleir; Udaiprakash; EMERITUS; true
GI-116175; 1985-08-14; Gerlach; Yongmao; EMERITUS; false
GI-113454; 1988-06-13; Lampe; Vishv; FULL; true
GI-128133; 1991-02-25; Schnelling; Sandeepan; REDUCED; true
GI-117256; 1993-04-29; Giaccio; Mingdong; REDUCED; false
GI-117324; 1991-11-17; Pellegrinelli; Mircea; EMERITUS; true
GI-139728; 1995-10-30; Botman; Duangkaew; REDUCED; false
GI-122046; 1986-01-03; Veeraraghavan; Yurii; FULL; false
GI-135798; 1989-07-28; Bakhtari; Ortrud; FULL; false
GI-123119; 1985-05-01; Armand; Heeju; EMERITUS; false
GI-135193; 1987-08-27; Weedman; Uri; FULL; true
GI-118038; 1986-02-27; Kroft; Hyuckchul; EMERITUS; false
GI-102945; 1986-09-23; Grospietsch; Sumali; FULL; true
GI-122459; 1986-12-31; Heuter; Odoardo; REDUCED; false
GI-119637; 1985-07-03; Bahk; Ymte; EMERITUS; false
GI-125202; 1987-05-10; Moehrke; Toshimi; REDUCED; false
GI-106122; 1991-05-07; Weedon; Ranan; FULL; true
GI-134661; 1993-11-14; Bridgland; Gen; EMERITUS; true
GI-100024; 1985-11-09; Wossner; Insup; EMERITUS; false
GI-131263; 1992-10-18; Brendel; Prodip; STUDENT; false
GI-126040; 1992-04-19; Collette; Mikhail; REDUCED; false
GI-123140; 1995-03-06; Baig; Martijn; REDUCED; true
GI-131992; 1992-12-12; Avouris; Mihalis; EMERITUS; true
GI-101659; 1987-02-22; Taneja; Jahangir; FULL; true
GI-124391; 1986-11-16; Lorys; IEEE; REDUCED; true
GI-103593; 1993-09-12; Verhaegen; Gully; FULL; false
GI-132556; 1994-09-15; Bail; Apostol; EMERITUS; true
GI-136514; 1994-03-29; Passafiume; Moss; EMERITUS; false
GI-118925; 1993-08-21; Compeau; Magdalena; FULL; true
GI-109113; 1991-09-13; Mungall; Atreyi; STUDENT; false
GI-123383; 1986-07-21; Stille; Gritta; REDUCED; false
GI-133530; 1991-03-12; Pashtan; Mayumi; EMERITUS; true
GI-137045; 1985-12-19; Chimia; Yuichiro; FULL; true
GI-138129; 1989-05-13; Poulakidas; Stein; REDUCED; false
GI-136186; 1992-06-18; Krybus; Percy; FULL; true
GI-103697; 1988-02-07; Speer; Itzchak; FULL; false
GI-123828; 1994-05-13; Wendorf; Cristinel; FULL; false
GI-120634; 1988-11-14; Shokrollahi; Ger; FULL; true
GI-108858; 1985-08-02; Vakili; Munehiro; FULL; true
GI-109207; 1989-07-07; Alvarado; Taegyun; REDUCED; false
GI-101403; 1997-07-08; Fortenbacher; Ashish; EMERITUS; false
GI-113873; 1988-05-27; Pocchiola; Tse; FULL; true
GI-132222; 1990-02-02; Suessmith; Yongdong; FULL; false
GI-107399; 1985-07-06; Isard; Felicidad; REDUCED; true
GI-125424; 1985-03-14; Rohrbach; Ziva; FULL; true
GI-100970; 1993-08-29; Serna; Mooi; FULL; true
GI-136613; 1993-01-25; Tasistro; Oguz; REDUCED; true
GI-103493; 1992-09-07; Coorg; Maris; EMERITUS; true
GI-117895; 1994-08-10; Plessier; Sasan; EMERITUS; true
GI-111742; 1987-09-28; Msuda; Muneo; FULL; true
GI-115919; 1985-07-27; Sury; Valery; STUDENT; false
GI-100849; 1991-01-23; Wixon; Hisao; EMERITUS; false
GI-112631; 1994-04-30; Bennet; Tetsurou; REDUCED; true
GI-133158; 1989-03-30; Nyrup; Val; EMERITUS; false
GI-131671; 1993-01-01; Shrader; Moti; STUDENT; true
GI-109463; 1987-03-11; Gulik; Rafols; STUDENT; true
GI-139086; 1985-03-28; Narlikar; Kauko; FULL; true
GI-108467; 1990-11-21; Jeansoulin; Tesuya; FULL; true
GI-136346; 1993-11-08; Gire; Gilbert; REDUCED; true
GI-122220; 1990-04-13; Marquardt; Zhiwei; FULL; true
GI-130714; 1996-04-11; Flasterstein; Isamu; EMERITUS; false
GI-134385; 1988-09-18; Menhoudj; Gennady; REDUCED; false
GI-115283; 1994-11-02; Bellone; Somnath; FULL; true
GI-138663; 1985-11-03; Arlazarov; Lorien; EMERITUS; true
GI-121551; 1988-04-05; Teitelbaum; Giao; FULL; false
GI-131535; 1987-01-09; Rahier; Taiji; EMERITUS; true
GI-121029; 1985-07-31; Ginesta; Ghassan; STUDENT; true
GI-104881; 1986-07-01; Scharstein; Jordanka; EMERITUS; true
GI-111325; 1987-01-05; Brobst; Mang; STUDENT; false
GI-106622; 1993-08-13; Lubachevsky; Khedija; FULL; false
GI-125176; 1988-08-31; Weisert; Mingzeng; FULL; true
GI-135216; 1987-02-12; Asrin; Geoff; FULL; false
GI-121439; 1988-03-20; Kopetz; Stafford; EMERITUS; false
GI-131719; 1987-01-01; Percebois; Serap; EMERITUS; false
GI-124797; 1992-05-12; Templeman; Rasiah; FULL; true
GI-106093; 1985-04-23; Iwayama; Shunichi; FULL; false
GI-115791; 1990-09-04; Vingron; Jaewon; EMERITUS; false
GI-125607; 1988-02-11; Suessmith; Aloke; STUDENT; false
GI-126874; 1988-09-12; Swift; Goh; EMERITUS; false
GI-112884; 1988-06-20; Spataro; Shmuel; FULL; true
GI-101307; 1985-06-30; Hardjono; Masanao; EMERITUS; false
GI-111008; 1989-08-11; Barvinok; Pascal; EMERITUS; false
GI-123281; 1994-09-09; Auria; Noritoshi; FULL; true
GI-123240; 1991-06-29; Schwaller; Makato; EMERITUS; false
GI-111092; 1989-05-08; Tsukune; Weiye; FULL; true
GI-131602; 1989-11-03; Chinin; Izaskun; FULL; true
GI-119930; 1987-12-27; Peir; Elzbieta; EMERITUS; false
GI-127398; 1988-06-20; Penttonen; Maik; FULL; false
GI-101448; 1991-07-29; Hofman; Vatsa; EMERITUS; true
GI-122957; 1988-08-08; Khasidashvili; Leucio; EMERITUS; false
GI-122509; 1992-12-23; Khamsi; Vesna; FULL; true
GI-129902; 1989-10-25; Hagimont; Eishiro; EMERITUS; true
GI-112148; 1986-09-09; Rosca; Murthy; EMERITUS; true
GI-110118; 1991-09-06; Luft; Jinxi; FULL; false
GI-117408; 1988-06-26; Prampolini; Romana; REDUCED; true
GI-116329; 1994-07-28; Swiler; Jacopo; FULL; true
GI-116915; 1995-11-21; Brizzi; Paddy; FULL; true
GI-125323; 1986-07-21; Syrzycki; Hidekazu; FULL; true
GI-120968; 1995-02-07; Kaiserswerth; Yolla; EMERITUS; true
GI-104376; 1992-11-15; Azadmanesh; Khalil; EMERITUS; true
GI-138806; 1988-02-24; Gecseg; Radhia; STUDENT; true
GI-102592; 1989-04-08; Miake; Martina; FULL; true
GI-131957; 1988-02-11; Kroon; Phule; REDUCED; false
GI-108000; 1989-12-02; Curless; Fei; FULL; false
GI-111871; 1987-09-25; Cyne; Hitomi; STUDENT; false
GI-109570; 1994-07-09; Baalen; Mohammad; STUDENT; false
GI-100039; 1990-05-25; Marakhovsky; Stevo; FULL; false
GI-126374; 1986-10-22; Rabejac; Mats; STUDENT; false
GI-139644; 1987-12-02; Decaestecker; Mokhtar; STUDENT; false
GI-123595; 1991-10-18; Rosti; Dayanand; REDUCED; false
GI-108332; 1994-04-04; Kornyak; Toshiko; EMERITUS; false
GI-113346; 1988-01-26; Straney; Rildo; EMERITUS; true
GI-116223; 1985-03-12; Luce; Chaosheng; REDUCED; true
GI-113919; 1993-05-10; Przulj; Jayesh; REDUCED; true
GI-139484; 1994-10-08; Taubenfeld; Adil; EMERITUS; false
GI-129780; 1985-11-19; Baek; Premal; STUDENT; false
GI-128850; 1985-05-09; Middleton; Qunsheng; FULL; true
GI-128688; 1994-08-17; Schlenzig; Weiwu; STUDENT; false
GI-132138; 1986-09-12; Snyers; Ibibia; FULL; false
GI-116060; 1990-08-08; Schaap; Zorica; FULL; false
GI-112171; 1991-10-04; Dahlbom; Mong; FULL; false
GI-134091; 1987-04-19; Jonsson; Jagoda; EMERITUS; true
GI-124627; 1990-01-12; Nergos; Yahiko; STUDENT; true
GI-124458; 1991-08-17; Fraisse; Zorica; FULL; false
GI-117349; 1991-11-20; Furudate; Marie; EMERITUS; false
GI-131341; 1997-02-07; Joslin; Kankanahalli; FULL; false
GI-111438; 1992-12-08; Suppi; Gita; FULL; true
GI-115961; 1985-09-22; Furedi; Takahira; EMERITUS; true
GI-120788; 1994-05-15; Hebden; Michaela; FULL; false
GI-105294; 1985-05-09; Polupanov; Unal; FULL; true
GI-125887; 1985-05-08; Christ; Fox; REDUCED; true
GI-115757; 1990-02-15; Siepmann; Hidefumi; EMERITUS; false
GI-138159; 1995-11-01; Speckmann; Sanjeeva; FULL; false
GI-117900; 1994-04-15; Perin; Elzbieta; FULL; true
GI-106890; 1985-03-13; Green; Qunsheng; EMERITUS; true
GI-100356; 1987-05-28; Castellani; Nahla; EMERITUS; false
GI-129481; 1989-12-26; Ghazalie; Baruch; FULL; false
GI-103913; 1986-06-18; Nishimukai; Gal; REDUCED; true
GI-106058; 1996-10-21; Jiafu; Navin; FULL; false
GI-111828; 1987-03-29; Navazio; Sverrir; REDUCED; false
GI-137929; 1985-05-31; Hettesheimer; Faiza; FULL; true
GI-134361; 1997-09-07; Schusler; Feipei; EMERITUS; false
GI-122729; 1996-03-12; Madeira; Lunjin; EMERITUS; false
GI-132636; 1985-06-27; Yemenis; Phule; REDUCED; false
GI-102894; 1988-07-14; Picci; Amalendu; STUDENT; false
GI-120470; 1988-09-20; Standera; Xiadong; FULL; true
GI-139113; 1991-09-13; Mungall; Atreyi; STUDENT; false
GI-101522; 1994-11-15; Mamelak; Gal; FULL; false
GI-103801; 1988-07-09; Ohori; Aemilian; REDUCED; true
GI-131812; 1987-01-05; Porenta; Tadahiko; FULL; false
GI-113836; 1990-07-07; Pardalos; Shahar; FULL; true
GI-139154; 1985-04-22; Magliocco; Ziva; EMERITUS; true
GI-124659; 1995-02-15; Marciano; Troy; REDUCED; false
GI-106118; 1993-04-07; Redmiles; Remko; STUDENT; true
GI-136396; 1987-12-29; Feldmann; Petter; REDUCED; true
GI-129885; 1988-06-05; Shobatake; Luisa; EMERITUS; true
GI-125489; 1987-08-05; Luca; Marsha; FULL; false
GI-128664; 1996-05-11; Nyrup; Adil; EMERITUS; false
GI-117896; 1991-07-04; Bardell; Luigi; FULL; false
GI-121041; 1993-05-03; Krohm; Atilio; EMERITUS; false
GI-107320; 1992-05-13; Oxman; Yefim; REDUCED; true
GI-138167; 1991-11-29; Babb; Gretta; REDUCED; true
GI-103301; 1994-02-08; Lorie; Ishfaq; FULL; false
GI-115033; 1986-11-03; Schrooten; Sven; FULL; false
GI-126988; 1986-11-03; Bharadwaj; Taizo; FULL; true
GI-117561; 1985-10-26; Menhardt; Matt; REDUCED; false
GI-123046; 1998-01-08; Cherinka; Xuedong; FULL; false
GI-125361; 1989-03-23; Daescu; Zissis; FULL; false
GI-130185; 1994-03-09; Greenaway; Szabolcs; EMERITUS; true
GI-129379; 1989-04-27; Merkl; Akeel; EMERITUS; true
GI-139070; 1997-02-09; Morrow; Hatsukazu; FULL; true
GI-108870; 1991-10-05; Takkinen; Rance; EMERITUS; false
GI-113731; 1985-07-17; Perly; Shem; FULL; false
GI-136595; 1991-05-20; Weedon; Venkatesan; FULL; true
GI-128884; 1995-07-19; Range; Sorina; FULL; true
GI-123924; 1993-03-07; Garnham; Kish; FULL; false
GI-115197; 1988-09-11; Itschner; Naraig; REDUCED; true
GI-133962; 1988-09-15; Denis; Hitomi; EMERITUS; false
GI-131284; 1991-04-11; Kaiser; Bojan; FULL; true
GI-134377; 1992-11-25; Thombley; Ymte; REDUCED; false
GI-106247; 1997-02-16; Menhardt; Pradeep; STUDENT; true
GI-138879; 1993-09-20; Swan; Hein; FULL; false
GI-117284; 1993-10-29; Gadepally; Tua; FULL; false
GI-124271; 1986-02-28; Zumaque; Otilia; FULL; true
GI-106774; 1999-10-08; Casperson; Percy; STUDENT; false
GI-137881; 1986-03-12; Einsfeld; Jaroslava; FULL; false
GI-117646; 1991-12-14; Baba; Wuxu; FULL; false
GI-117574; 1985-02-18; Swift; Kensei; EMERITUS; true
GI-139980; 1987-10-30; Schapiro; Deborah; FULL; true
GI-129412; 1993-07-04; Gihr; Elgin; FULL; false
GI-103906; 1990-01-16; Oehlmann; Etsuo; REDUCED; false
GI-114226; 1988-04-04; Peltason; Muneo; EMERITUS; true
GI-101447; 1985-07-29; Back; Denis; EMERITUS; true
GI-106721; 1986-05-10; Niizuma; Shawna; FULL; true
GI-123207; 1986-04-21; Passafiume; Howell; EMERITUS; false
GI-108146; 1986-08-27; Underwood; Zhanqiu; REDUCED; false
GI-119689; 1998-01-04; Passafiume; Arne; FULL; false
GI-139519; 1994-09-26; Ratnakar; Takahira; REDUCED; true
GI-129643; 1993-09-01; Pulkowski; Mrinalini; EMERITUS; true
GI-110561; 1987-03-28; Sudkamp; Aleksandar; EMERITUS; true
GI-104675; 1990-09-20; Cronin; Fumitaka; REDUCED; true
GI-128952; 1987-05-26; Denny; Jeane; EMERITUS; true
GI-133598; 1987-10-06; Rodiger; Cheong; FULL; false
GI-139834; 1995-01-07; Luef; Heeju; FULL; false
GI-114817; 1995-05-26; Hatcliff; Poorav; STUDENT; true
GI-127163; 1993-04-10; Polupanov; Muzhong; REDUCED; false
GI-123035; 1986-10-17; Comellas; Wojceich; REDUCED; true
GI-117636; 1993-04-03; Detkin; Neelam; EMERITUS; true
GI-123959; 1996-03-21; Erdmenger; Ranga; FULL; true
GI-104913; 1999-04-30; Haddadi; Lillian; FULL; true
GI-120327; 1991-01-03; Wiegley; Shim; FULL; true
GI-108888; 1985-11-25; Terekhov; Toney; STUDENT; false
GI-122196; 1986-01-27; Raney; Elrique; EMERITUS; true
GI-137610; 1997-08-12; Clemencon; Yolla; REDUCED; false
GI-119676; 1987-09-07; Karcich; Unal; FULL; false
GI-108409; 1985-12-30; Fairtlough; Fan; FULL; true
GI-122826; 1986-04-27; Theuretzbacher; Sadegh; EMERITUS; true
GI-119511; 1987-10-31; Stamatiou; Premal; EMERITUS; true
GI-112377; 1994-10-07; Petereit; Ebru; FULL; true
GI-114602; 1994-11-23; Emden; Alain; FULL; false
GI-117595; 1991-04-13; Gornas; Chrisa; FULL; false
GI-103308; 1986-08-28; Bamford; Parto; EMERITUS; true
GI-129828; 1995-12-09; Kadhim; Chriss; REDUCED; false
GI-101856; 1986-10-15; Ashish; JoAnna; EMERITUS; true
GI-122978; 1988-01-27; Bael; Pragnesh; REDUCED; true
GI-106915; 1995-11-21; Brizzi; Paddy; FULL; true
GI-139557; 1989-06-19; Kaminger; Claudi; FULL; true
GI-107767; 1993-03-21; Stamatiou; Magy; STUDENT; true
GI-105170; 1997-09-16; Demir; Valeska; FULL; true
GI-119705; 1994-01-29; Tagansky; Slavian; FULL; false
GI-118662; 1990-11-06; Waleschkowski; Remmert; FULL; true
GI-132432; 1994-02-10; Khasidashvili; Shmuel; EMERITUS; false
GI-115279; 1988-10-12; Broder; Nahum; REDUCED; false
GI-116374; 1986-10-22; Rabejac; Mats; STUDENT; false
GI-110217; 1990-06-29; Marquardt; Jacqueline; FULL; true
GI-122623; 1988-03-16; Felder; Shahaf; EMERITUS; true
GI-123918; 1986-09-02; Nilsson; Chuanyi; FULL; false
GI-104895; 1990-11-01; Akazan; Matk; REDUCED; true
GI-129721; 1991-01-25; Olano; Gina; FULL; true
GI-116489; 1996-11-23; Siepmann; Martial; STUDENT; false
GI-136853; 1991-03-26; Gips; Ewing; FULL; false
GI-103091; 1988-02-23; Kitsuregawa; Atilio; REDUCED; true
GI-127726; 1991-11-25; Ibel; Elgin; REDUCED; true
GI-111055; 1987-11-21; Gils; Oddvar; EMERITUS; false
GI-110235; 1989-11-22; Kumaresan; Giri; FULL; false
GI-108597; 1990-11-04; Lorys; Chiranjit; FULL; true
GI-104055; 1991-10-29; Munck; Zhaofang; EMERITUS; false
GI-115410; 1985-08-21; Kitai; Ramalingam; REDUCED; true
GI-124756; 1990-09-23; Gurbaxani; Masoud; EMERITUS; false
GI-126435; 1985-12-22; Pietrzykowski; Shrikanth; REDUCED; false
GI-116569; 1987-08-15; Matzov; Xiadong; FULL; false
GI-116835; 1993-08-19; Litvinov; Sarita; EMERITUS; true
GI-118185; 1989-01-21; Linares; Akhilish; FULL; true
GI-119161; 1989-08-03; Scharstein; Abdelghani; REDUCED; true
GI-122840; 1989-01-07; Peltason; Erzsebet; EMERITUS; true
GI-109212; 1985-04-04; Rosti; Marlo; FULL; false
GI-114971; 1987-08-25; Vingron; Subbu; FULL; true
GI-133235; 1985-12-16; Beerel; Ulf; FULL; false
GI-129824; 1985-02-02; Demke; Selwyn; FULL; true
GI-101166; 1986-06-12; Thorelli; Xiaobin; EMERITUS; true
GI-126601; 1990-05-25; England; Jouni; FULL; true
GI-117684; 1987-07-07; DiGiano; Hongzue; REDUCED; true
GI-131418; 1993-10-16; Keohane; Gina; EMERITUS; false
GI-103854; 1998-04-25; Albarhamtoshy; Randy; EMERITUS; false
GI-113960; 1986-11-22; Nilsson; Miyeon; EMERITUS; false
GI-137109; 1985-08-20; Rahier; Adam; STUDENT; false
GI-103629; 1996-11-02; Anido; Saeko; FULL; false
GI-113708; 1985-11-07; Junot; Danil; FULL; true
GI-137173; 1987-12-16; Strooper; Gila; FULL; true
GI-111646; 1986-04-01; Perry; Krister; FULL; false
GI-136190; 1987-07-23; Ressouche; Emdad; EMERITUS; false
GI-137718; 1987-01-19; Veevers; Supot; FULL; false
GI-116087; 1994-07-11; Cronau; Ulises; FULL; true
GI-109921; 1986-04-06; Vecchio; Mototsugu; STUDENT; false
GI-128905; 1986-04-14; Marakhovsky; Toshimo; EMERITUS; true
GI-139991; 1995-12-28; Botman; Tuval; FULL; false
GI-125470; 1996-05-05; Sichman; Phillip; FULL; true
GI-108473; 1996-09-04; Suermann; Genevieve; FULL; true
GI-129020; 1985-04-18; Zultner; Fatemeh; EMERITUS; false
GI-107971; 1985-08-15; Gubsky; Neven; EMERITUS; false
GI-131070; 1994-02-10; Chaudhury; Maha; FULL; true
GI-139756; 1990-05-25; Fiutem; Francoise; EMERITUS; false
GI-129968; 1991-03-25; Kobuchi; Kwun; FULL; true
GI-128102; 1992-07-26; Krogh; Gina; REDUCED; false
GI-104298; 1996-05-20; Kambil; Mohammed; FULL; true
GI-112238; 1989-11-15; Schahn; Uli; STUDENT; true
GI-127016; 1988-04-03; Vanwelkenhuysen; Margo; EMERITUS; false
GI-139688; 1995-01-26; Bodoff; Pragnesh; FULL; true
